icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
A10,Fairchild,A10 Thunderbolt II,FAIRCHILD A-10 Thunderbolt II,A10 Thunderbolt II,REGIONAL,JET,2,M
A124,Antonov,An-124 Ruslan,ANTONOV An-124 Ruslan,An-124 Ruslan,WIDE,JET,4,H
A140,Hesa,140 Faraz,HESA 140 Faraz,140 Faraz,TURBOPROP,TURBOPROP,2,M
A148,Antonov,An-148,ANTONOV An-148,An-148,REGIONAL,JET,2,M
A158,Antonov,An-158,ANTONOV An-158,An-158,REGIONAL,JET,2,M
A178,Antonov,An-178,ANTONOV An-178,An-178,REGIONAL,JET,2,M
A19N,Airbus,A319neo,AIRBUS A-319neo,A320 family,NARROW,JET,2,M
A20N,Airbus,A320neo,AIRBUS A-320neo,A320 family,NARROW,JET,2,M
A21N,Airbus,A321neo,AIRBUS A-321neo,A320 family,NARROW,JET,2,M
A225,Antonov,An-225 Mriya,ANTONOV An-225 Mriya,An-225 Mriya,WIDE,JET,6,H
A270,Aero,Ae-270 Propjet,AERO Ae-270 Propjet,Ae-270 Propjet,TURBOPROP,TURBOPROP,1,L
A3,Douglas,A3 Skywarrior,DOUGLAS A-3 Skywarrior,A3 Skywarrior,NARROW,JET,2,M
A306,Airbus,A300-600,AIRBUS A-300-600,A300,WIDE,JET,2,H
A30B,Airbus,A300-200,AIRBUS A-300-200,A300,WIDE,JET,2,H
A310,Airbus,A310,AIRBUS A-310,A310,WIDE,JET,2,H
A318,Airbus,A318,AIRBUS A-318,A320 family,NARROW,JET,2,M
A319,Airbus,A319,AIRBUS A-319,A320 family,NARROW,JET,2,M
A320,Airbus,A320,AIRBUS A-320,A320 family,NARROW,JET,2,M
A321,Airbus,A321,AIRBUS A-321,A320 family,NARROW,JET,2,M
A332,Airbus,A330-200,AIRBUS A-330-200,A330,WIDE,JET,2,H
A333,Airbus,A330-300,AIRBUS A-330-300,A330,WIDE,JET,2,H
A337,Airbus,A330-700 Beluga XL,AIRBUS A-330-700 Beluga XL,A330,WIDE,JET,2,H
A338,Airbus,A330-800,AIRBUS A-330-800,A330,WIDE,JET,2,H
A339,Airbus,A330-900,AIRBUS A-330-900,A330,WIDE,JET,2,H
A342,Airbus,A340-200,AIRBUS A-340-200,A340,WIDE,JET,4,H
A343,Airbus,A340-300,AIRBUS A-340-300,A340,WIDE,JET,4,H
A345,Airbus,A340-500,AIRBUS A-340-500,A340,WIDE,JET,4,H
A346,Airbus,A340-600,AIRBUS A-340-600,A340,WIDE,JET,4,H
A359,Airbus,A350-900,AIRBUS A-350-900,A350,WIDE,JET,2,H
A35K,Airbus,A350-1000,AIRBUS A-350-1000,A350,WIDE,JET,2,H
A37,Cessna,318 Dragonfly,Cessna 318 Dragonfly,318 Dragonfly,BUSINESS,JET,2,L
A388,Airbus,A380-800,AIRBUS A-380-800,A380,WIDE,JET,4,H
A3ST,Airbus,A300ST Beluga Super Transporter,AIRBUS A-300ST Beluga Super Transporter,A300,WIDE,JET,2,H
A4,Douglas,A4 Skyhawk,DOUGLAS A-4 Skyhawk,A4 Skyhawk,NARROW,JET,1,M
A400,Airbus,A400M,AIRBUS A-400M,A400M,TURBOPROP,TURBOPROP,4,H
A50,Ilyushin,A50,ILYUSHIN A-50,A50,WIDE,JET,4,H
A6,Grumman,A6 Prowler,GRUMMAN A-6 Prowler,A6 Prowler,REGIONAL,JET,2,M
A660,Thrush,S-2R Turbo 660,THRUSH S-2R Turbo 660,S-2R Turbo 660,TURBOPROP,TURBOPROP,1,L
A700,Adam,A700 AdamJet,ADAM A-700 AdamJet,A700 AdamJet,BUSINESS,JET,2,L
A743,Antonov,An-74-300,ANTONOV An-74-300,An-74-300,REGIONAL,JET,2,M
A748,Avro,748,AVRO 748,748,TURBOPROP,TURBOPROP,2,M
AC80,North American,ROCKWELL Turbo Commander 680,NORTH AMERICAN ROCKWELL Turbo Commander 680,ROCKWELL Turbo Commander 680,TURBOPROP,TURBOPROP,2,L
AC90,North American,ROCKWELL Turbo Commander 690/840,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,ROCKWELL Turbo Commander 690/840,TURBOPROP,TURBOPROP,2,L
AC95,North American,ROCKWELL Jetprop Commander 1000,NORTH AMERICAN ROCKWELL Jetprop Commander 1000,ROCKWELL Jetprop Commander 1000,TURBOPROP,TURBOPROP,2,L
AG60,Caiga,AG-600 Kunlong,CAIGA AG-600 Kunlong,AG-600 Kunlong,TURBOPROP,TURBOPROP,4,M
AJ27,COMAC,ARJ-21-700 Xiangfeng,COMAC ARJ-21-700 Xiangfeng,ARJ-21-700 Xiangfeng,NARROW,JET,2,M
AJET,Dassault,DORNIER Alpha Jet,DASSAULT-DORNIER Alpha Jet,DORNIER Alpha Jet,BUSINESS,JET,2,M
AKNC,Baykar,Akinci,BAYKAR Akinci,Akinci,TURBOPROP,TURBOPROP,2,L
ALIZ,Breguet,1050 Alize,BREGUET 1050 Alize,1050 Alize,TURBOPROP,TURBOPROP,1,M
AMX,Aeritalia-Aermacchi,AMX Ghibli,AERITALIA-AERMACCHI AMX Ghibli,AMX Ghibli,REGIONAL,JET,1,M
AN12,Antonov,An-12,ANTONOV An-12,An-12,TURBOPROP,TURBOPROP,4,M
AN22,Antonov,An-22 Antheus,ANTONOV An-22 Antheus,An-22 Antheus,TURBOPROP,TURBOPROP,4,H
AN24,Antonov,An-24,ANTONOV An-24,An-24,TURBOPROP,TURBOPROP,2,M
AN26,Antonov,An-26,ANTONOV An-26,An-26,TURBOPROP,TURBOPROP,2,M
AN28,Antonov,An-28,ANTONOV An-28,An-28,TURBOPROP,TURBOPROP,2,L
AN3,Antonov,An-3,ANTONOV An-3,An-3,TURBOPROP,TURBOPROP,1,L
AN30,Antonov,An-30,ANTONOV An-30,An-30,TURBOPROP,TURBOPROP,2,M
AN32,Antonov,An-32 Sutlej,ANTONOV An-32 Sutlej,An-32 Sutlej,TURBOPROP,TURBOPROP,2,M
AN38,Antonov,An-38,ANTONOV An-38,An-38,TURBOPROP,TURBOPROP,2,M
AN70,Antonov,An-70,ANTONOV An-70,An-70,TURBOPROP,TURBOPROP,4,M
AN72,Antonov,An-74-200,ANTONOV An-74-200,An-74-200,REGIONAL,JET,2,M
AN8,Antonov,An-8,ANTONOV An-8,An-8,TURBOPROP,TURBOPROP,2,M
ARES,Rutan,Ares,RUTAN Ares,Ares,BUSINESS,JET,1,L
ARVA,IAI,102/202 Arava,IAI 102/202 Arava,102/202 Arava,TURBOPROP,TURBOPROP,2,L
AS2T,Ffa,AS-202-32TP Turbine Bravo,FFA AS-202-32TP Turbine Bravo,AS-202-32TP Turbine Bravo,TURBOPROP,TURBOPROP,1,L
ASTR,Gulfstream Aerospace,Gulfstream G100,GULFSTREAM AEROSPACE Gulfstream G100,Gulfstream G100,BUSINESS,JET,2,M
AT3,Aidc,AT-3 Tzu-Chung,AIDC AT-3 Tzu-Chung,AT-3 Tzu-Chung,REGIONAL,JET,2,M
