icao,iata,name,country_code,active
AAA,AN,Ansett Australia,AU,true
AAB,W9,Abelag Aviation,BE,false
AAF,ZI,Aigle Azur,FR,true
AAG,KI,Air Atlantique,GB,false
AAH,AQ,Aloha Airlines,US,true
AAL,AA,American Airlines,US,true
AAN,WD,Amsterdam Airlines,NL,true
AAQ,,Copterline,FI,true
AAR,OZ,Asiana Airlines,KR,true
AAS,4K,Askari Aviation,PK,true
AAW,8U,Afriqiyah Airways,LY,true
AAY,G4,Allegiant Air,US,true
ABD,CC,Air Atlanta Icelandic,IS,true
ABE,K5,Aban Air,IR,false
ABI,U1,Aviabus,RU,true
ABL,BX,Air Busan,KR,true
ABQ,ED,Airblue,PK,true
ABR,AG,Air Contractors,IE,false
ABS,9T,Transwest Air,CA,true
ABV,04,Antrak Air,GH,false
ABW,RU,AirBridge Cargo,RU,false
ABX,GB,Airborne Express,US,false
ABY,G9,Air Arabia,AE,true
ACA,AC,Air Canada,CA,true
ACI,SB,Air Caledonie International,FR,true
ACK,DV,Nantucket Airlines,US,false
ACL,9X,Itali Airlines,IT,false
ACP,8V,Astral Aviation,KE,true
ACQ,N6,Nuevo Continente,PE,false
ADE,ZY,Ada Air,AL,true
ADH,AP,Air One,IT,true
ADK,Z7,ADC Airlines,NG,false
ADO,HD,Hokkaido International Airlines,JP,true
ADR,JP,Adria Airways,SI,true
AEA,UX,Air Europa,ES,true
AEB,EM,Aero Benin,BJ,true
AEE,A3,Aegean Airlines,GR,true
AEF,YP,Aero Lloyd (YP),DE,false
AEH,RX,Aviaexpress,HU,false
AEL,PE,Air Europe,IT,true
AER,KO,Alaska Central Express,US,true
AES,,ACES Colombia,CO,true
AEU,5W,Astraeus,GB,true
AEW,VV,Aerosvit Airlines,UA,true
AEY,I9,Air Italy,IT,true
AFB,WK,American Falcon,AR,false
AFG,FG,Ariana Afghan Airlines,AF,true
AFL,SU,Aeroflot Russian Airlines,RU,true
AFR,AF,Air France,FR,true
AFU,Q9,Afrinat International Airlines,GM,false
AGB,G8,Air Service Gabon,GA,false
AGN,GN,Air Gabon,GA,false
AGT,1A,Amadeus Global Travel Distribution,ES,false
AGV,7T,Air Glaciers,CH,true
AGX,,Aviogenex,RS,true
AHA,GD,Air Alpha Greenland,DK,false
AHK,LD,Air Hong Kong,HK,false
AHO,HH,Air Hamburg (AHO),DE,true
AHW,HT,Aeromist-Kharkiv,UA,false
AHY,J2,Azerbaijan Airlines,AZ,true
AIA,U3,Avies,EE,true
AIB,AP,Airbus Industrie,FR,false
AIC,AI,Air India Limited,IN,true
AIO,,United States Air Force,US,true
AIP,5A,Alpine Air Express,US,false
AIQ,FD,Thai AirAsia,TH,true
AIR,,Airlift International,US,true
AIZ,IZ,Arkia Israel Airlines,IL,true
AJM,JM,Air Jamaica,JM,true
AJT,M6,Amerijet International,US,false
AJX,NQ,Air Japan,JP,true
AKA,,Air Korea Co. Ltd.,KR,true
AKL,4A,Air Kiribati,KI,true
AKT,V2,Karat,RU,false
AKX,EH,Air Nippon Network Co. Ltd.,JP,false
ALK,UL,SriLankan Airlines,LK,true
ALO,,Allegheny Commuter Airlines,US,true
ALS,NV,Naka Nihon Airlines Service,JP,false
ALX,EO,Hewa Bora Airways,CD,false
AMB,1I,Deutsche Rettungsflugwacht,DE,false
AMC,KM,Air Malta,MT,true
AML,QM,Air Malawi,MW,true
AMT,,ATA Airlines,US,true
AMU,NX,Air Macau,MO,true
AMV,,AMC Airlines,EG,true
AMW,ZV,Air Midwest,US,false
AMX,AM,AeroMéxico,MX,true
ANA,NH,All Nippon Airways,JP,true
ANE,YW,Air Nostrum,ES,true
ANG,PX,Air Niugini,PG,true
ANK,EL,Air Nippon,JP,true
ANO,TL,Airnorth,AU,true
ANT,4N,Air North Charter - Canada,CA,true
ANU,,Andalus Lineas Aereas,ES,true
ANZ,NZ,Air New Zealand,NZ,true
AOC,J6,AVCOM,RU,false
AOG,2D,Aero VIP,AR,false
AOM,IW,AOM French Airlines,FR,false
AOT,OE,Asia Overnight Express,PH,false
AOW,2Y,Air Andaman (2Y),TH,false
APW,JW,Arrow Air,US,true
ARA,W3,Arik Air,NG,false
ARD,2B,Aerocondor,PT,true
ARE,4C,Aires,,true
ARF,GV,Aero Flight,DE,true
ARG,AR,Aerolineas Argentinas,AR,true
ARR,QN,Air Armenia,AM,false
ARU,,Aruba Airlines,AW,true
ASA,AS,Alaska Airlines,,true
ASD,4D,Air Sinai,EG,true
ASE,PL,Airstars,RU,false
ASH,YV,Mesa Airlines,US,true
ASL,JU,Air Serbia,RS,true
ASQ,EV,Atlantic Southeast Airlines,US,true
ASZ,OB,Astrakhan Airlines,RU,true
ATC,TC,Air Tanzania,TZ,true
ATI,HC,Aero-Tropics Air Services,AU,false
ATM,FO,Airlines Of Tasmania,AU,true
ATN,8C,Air Transport International,US,false
AUA,OS,Austrian Airlines,AT,true
AUB,IQ,Augsburg Airways,DE,true
AUH,MO,Abu Dhabi Amiri Flight,AE,true
AUI,PS,Ukraine International Airlines,UA,true
AUL,5N,Aeroflot-Nord,RU,true
AUR,GR,Aurigny Air Services,GB,true
AUS,NO,Aus-Air,AU,false
AUT,AU,Austral Lineas Aereas,AR,true
AUZ,AO,Australian Airlines,AU,false
AVA,AV,Avianca - Aerovias Nacionales de Colombia,,true
AVE,VE,Avensa,VE,false
AVN,NF,Air Vanuatu,VU,true
AWA,Y5,Asia Wings,KZ,true
AWC,ZT,Titan Airways,GB,false
AWE,HP,America West Airlines,US,true
AWI,ZW,Air Wisconsin,US,true
AWM,AW,Asian Wings Airways,MM,true
AWQ,QZ,Indonesia AirAsia,ID,true
AWU,7E,Aeroline GmbH,DE,true
AWW,6G,Air Wales,GB,true
AXB,IX,Air India Express,IN,true
AXC,,Indochina Airlines,VN,true
AXE,,Air Explore,SK,true
AXF,HJ,Asian Express Airlines,AU,false
AXL,XT,Air Exel,NL,true
AXM,AK,AirAsia,MY,true
AXY,6V,Axis Airways,FR,false
AXZ,JY,Aereonautica militare,IT,true
AYZ,3G,Atlant-Soyuz Airlines,RU,true
AZA,AZ,Alitalia,IT,false
AZE,ZE,Arcus-Air Logistic,DE,false
AZN,Z8,Amaszonas,BO,true
AZQ,ZP,Silk Way Airlines,AZ,false
AZU,AD,Azul,BR,true
AZW,UM,Air Zimbabwe,ZW,true
BAG,DI,dba,DE,true
BAJ,8Q,Baker Aviation,US,false
BAW,BA,British Airways,GB,true
BBB,VD,SwedJet Airways,SE,false
BBC,BG,Biman Bangladesh Airlines,BD,true
BBD,BF,Bluebird Cargo,IS,false
BBG,,Bluebird Airways (BZ),GR,true
BBO,F7,Flybaboo,CH,true
BBR,S3,Santa Barbara Airlines,VE,true
BCC,8B,BusinessAir,TH,true
BCF,B4,BACH Flugbetriebsges,AT,false
BCN,,Ocean Air,MR,true
BCS,QY,European Air Transport,BE,false
BCY,WX,CityJet,IE,true
BDA,BZ,Blue Dart Aviation,IN,false
BEE,BE,Flybe,GB,true
BER,AB,Air Berlin,DE,true
BES,W4,Aero Services Executive,FR,false
BEU,,Bateleur Air,ZA,true
BFL,J4,Buffalo Airways,CA,false
BGD,B9,Air Bangladesh,BD,true
BGL,A8,Benin Golf Air,BJ,false
BGY,,Bingo Airways,PL,true
BHP,4T,Belair Airlines,CH,true
BHS,UP,Bahamasair,BS,true
BIE,DR,Air Mediterranee,FR,true
BIH,BS,British International Helicopters,GB,true
BKA,B4,Bankair,US,false
BKF,,BF-Lento OY,FI,true
BKP,PG,Bangkok Airways,TH,true
BKY,BU,Blue Sky America,US,false
BLF,KF,Blue1,FI,true
BLL,,Baltic Airlines,RU,true
BLS,JV,Bearskin Lake Air Service,CA,true
BLV,B3,Bellview Airlines,NG,true
BLX,6B,TUIfly Nordic,SE,true
BMA,BD,bmi,GB,true
BMI,WW,bmibaby,GB,true
BMJ,CH,Bemidji Airlines,US,true
BML,5Z,Bismillah Airlines,BD,false
BMM,8A,Atlas Blue,MA,true
BMR,,British Midland Regional,GB,true
BNF,BN,Braniff International Airways,US,false
BNX,KG,LAI - Linea Aerea IAACA,VE,false
BON,JA,Air Bosna,BA,true
BOT,BP,Air Botswana,BW,true
BOU,BO,Bouraq Indonesia Airlines,ID,false
BOV,,Boliviana de Aviacion (OB),BO,true
BPA,BV,Blue Panorama Airlines,IT,true
BPS,,Budapest Aircraft Services/Manx2,HU,true
BQB,BQ,Buquebus Líneas Aéreas,UY,true
BRA,BU,Braathens,NO,false
BRB,7R,BRA-Transportes Aereos,BR,false
BRG,8E,Bering Air,US,true
BRQ,UZ,El-Buraq Air Transport,LY,true
BRS,,Brazilian Air Force,BR,true
BRU,B2,Belavia Belarusian Airlines,BY,true
BRV,K6,Bravo Air Congo,CD,false
BRZ,E5,Samara Airlines,RU,false
BSA,BZ,Black Stallion Airways,US,true
BSK,GL,Miami Air International,US,false
BSR,G6,Guine Bissaur Airlines,GW,false
BSX,5B,Bassaka airlines,KH,true
BSY,GQ,Big Sky Airlines,US,false
BTA,XE,ExpressJet,US,true
BTC,V9,BAL Bashkirian Airlines,RU,false
BTI,BT,Air Baltic,LV,true
BTM,,Air Batumi,GE,true
BTQ,4B,Boutique Air (Priv),US,true
BTV,7P,Metro Batavia,ID,true
BUB,ZB,Air Bourbon,RE,true
BUR,,Air Bucharest,RO,true
BUU,BU,Baikotovitchestrian Airlines ,AS,true
BVT,J8,Berjaya Air,MY,true
BWA,BW,Caribbean Airlines,TT,true
BWG,QW,Blue Wings,DE,true
BYE,BM,Bayu Indonesia Air,ID,false
BZE,GB,BRAZIL AIR,BR,true
BZH,DB,Brit Air,FR,true
BZL,BZ,Aero Brazil,BR,false
CAI,,Corendon Airlines,TR,true
CAL,CI,China Airlines,TW,true
CAM,R9,Camai Air,US,false
CAN,,Crest Aviation,GB,true
CAP,C2,CanXplorer,CA,true
CAT,CT,Civil Air Transport,TW,false
CAV,MO,Calm Air,CA,false
CAW,MN,Comair,ZA,true
CAY,KX,Cayman Airways,KY,true
CBF,CJ,China Northern Airlines,CN,false
CBG,,GX Airlines,CN,true
CCA,CA,Air China,CN,true
CCB,,CARICOM AIRWAYS (BARBADOS) INC.,BB,true
CCC,CB,CCML Airlines,CO,true
CCG,,Central Connect Airlines,CZ,true
CCI,PT,Capital Cargo International Airlines,US,false
CCM,XK,Corse-Mediterranee,FR,true
CCP,MG,Champion Air,US,false
CDG,SC,Shandong Airlines,CN,true
CDN,CP,Canadian Airlines,CA,true
CDP,Q6,Aero Condor Peru,PE,true
CEA,3C,RegionsAir,US,false
CEB,5J,Cebu Pacific,PH,true
CEL,,CEIBA Intercontinental,GQ,true
CEO,,Comfort Express Virtual Charters,US,true
CES,MU,China Eastern Airlines,CN,true
CEY,,Air Century,DO,true
CFE,CJ,BA CityFlyer,GB,true
CFG,DE,Condor Flugdienst,DE,true
CFS,EM,Empire Airlines,US,false
CGK,,Click Airways,KG,true
CGN,2Z,Changan Airlines,CN,false
CGP,8L,Cargo Plus Aviation,AE,true
CHB,PN,West Air China,CN,true
CHF,X7,Chitaavia,RU,false
CHH,HU,Hainan Airlines,CN,true
CHK,OP,Chalk's Ocean Airways,US,false
CHP,6A,Consorcio Aviaxsa,MX,true
CHQ,RP,Chautauqua Airlines,US,true
CHW,,Charter Air,AT,true
CIF,1F,CB Airways UK ( Interliging Flights ),GB,true
CIM,QI,Cimber Air,DK,true
CIR,5F,Arctic Circle Air Service,US,false
CIU,A2,Cielos Airlines,PE,false
CIX,G3,City Connexion Airlines,BI,true
CJA,C6,CanJet,CA,false
CJC,9L,Colgan Air,US,true
CJT,W8,Cargojet Airways,CA,false
CKK,CK,China Cargo Airlines,CN,false
CKS,K4,Kalitta Air,US,false
CLH,CL,Lufthansa CityLine,DE,true
