icao,iata,name,city,country_code,latitude,longitude,time_zone,airport_type
,UTK,Utirik Airport,Utirik Island,MH,11.222219,169.851429,,small_airport
,OCA,Ocean Reef Club Airport,Key Largo,US,25.325399,-80.274803,America/New_York,medium_airport
,CSE,Crested Butte Airpark,Crested Butte,US,38.851918,-106.928341,America/Denver,small_airport
,CUS,Columbus Airport,Columbus,US,31.823898,-107.629924,America/Denver,small_airport
,JCY,LBJ Ranch Airport,Stonewall,US,30.251801,-98.622498,America/Chicago,small_airport
,WLR,Loring Seaplane Base,Loring,US,55.601299,-131.636993,,seaplane_base
PPIT,NUP,Nunapitchuk Airport,Nunapitchuk,US,60.905591,-162.440454,,small_airport
,PTC,Port Alice Seaplane Base,Port Alice,US,55.803,-133.597,,seaplane_base
,ICY,Icy Bay Airport,Icy Bay,US,59.966269,-141.660118,America/Anchorage,small_airport
,PPV,Port Protection Seaplane Base,Port Protection,US,56.3288,-133.610001,,seaplane_base
,KKK,Kalakaket Creek AS Airport,Kalakaket Creek,US,64.4166256967,-156.820392609,,small_airport
,MHS,Dunsmuir Muni-Mott Airport,Dunsmuir,US,41.263199,-122.272003,,small_airport
,NIR,Chase Field Industrial Airport,Beeville,US,28.362444,-97.661917,America/Chicago,small_airport
,GCT,Grand Canyon Bar Ten Airstrip,Littlefield,US,36.257984,-113.231063,,small_airport
,ELW,Ellamar Seaplane Base,Ellamar,US,60.893818,-146.704038,,seaplane_base
,LVD,Lime Village Airport,Lime Village,US,61.3591003418,-155.440002441,,small_airport
,HGZ,Hog River Airport,Hogatza,US,66.176133,-155.684816,America/Anchorage,small_airport
,OTN,Ed-Air Airport,Oaktown,US,38.851782,-87.49987,America/Chicago,small_airport
,TLF,Telida Airport,Telida,US,63.393902,-153.268997,,small_airport
,BZT,Eagle Air Park,Brazoria,US,28.982200622559,-95.579696655273,America/Chicago,small_airport
,HBH,Entrance Island Seaplane Base,Entrance Island,US,57.412201,-133.43848,,seaplane_base
,FAK,False Island Seaplane Base,False Island,US,57.5321998596,-135.212997437,,seaplane_base
,BYW,Blakely Island Airport,Blakely Island,US,48.579162,-122.823844,America/Los_Angeles,small_airport
,DRF,Drift River Airport,Kenai,US,60.588901519800004,-152.162002563,America/Anchorage,small_airport
,BDF,Rinkenberger Restricted Landing Area,Bradford,US,41.230899810800004,-89.61569976810001,America/Chicago,small_airport
,TEH,Tetlin Airport,Tetlin,US,63.124618,-142.518005,,small_airport
,VRS,Roy Otten Memorial Airfield,Versailles,US,38.427799224854,-92.875198364258,,small_airport
,GDH,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,59.7470016479,-158.875,,seaplane_base
,ATT,Atmautluak Airport,Atmautluak,US,60.866699,-162.272996,,small_airport
,LIV,Livengood Camp Airport,Livengood,US,65.467,-148.6534,,small_airport
,PDB,Pedro Bay Airport,Pedro Bay,US,59.796925,-154.129994,,small_airport
,KOZ,Ouzinkie Airport,Ouzinkie,US,57.942094,-152.464314,,small_airport
POKA,TNK,Tununak Airport,Tununak,US,60.569638,-165.246649,,small_airport
,WHD,Hyder Seaplane Base,Hyder,US,55.903324,-130.009975,,seaplane_base
,MNT,Minto Al Wright Airport,Minto,US,65.147991,-149.368658,,small_airport
,TKI,Tokeen Seaplane Base,Tokeen,US,55.937099,-133.326996,,seaplane_base
,WKK,Aleknagik / New Airport,Aleknagik,US,59.2826004028,-158.617996216,,medium_airport
,WFB,Ketchikan Harbor Seaplane Base,Ketchikan,US,55.349899,-131.677002,,seaplane_base
,RFK,Rollang Field,Rolling Fork,US,32.953543,-90.845144,America/Chicago,small_airport
,NNK,Naknek Airport,Naknek,US,58.735633,-157.02216,,small_airport
,BKF,Lake Brooks Seaplane Base,Katmai National Park,US,58.554798,-155.776993,,seaplane_base
,BCS,Southern Seaplane Airport,Belle Chasse,US,29.866078,-90.021608,America/Chicago,small_airport
,MMN,Minute Man Air Field,Stow,US,42.460298,-71.519031,,small_airport
,SPQ,Catalina Air-Sea Terminal Heliport,San Pedro,US,33.7491989136,-118.275001526,,heliport
,TSS,East 34th Street Heliport,New York,US,40.742372,-73.972074,,heliport
,NYS,New York Skyports Inc Seaplane Base,New York,US,40.735061,-73.972814,,seaplane_base
,WYB,Yes Bay Lodge Seaplane Base,Yes Bay,US,55.916302,-131.800995,,seaplane_base
,CWS,Center Island Airport,Center Island,US,48.490046,-122.831612,America/Los_Angeles,small_airport
PAKA,TEK,Tatitlek Airport,Tatitlek,US,60.871449,-146.690297,,small_airport
,DUF,Pine Island Airport,Corolla,US,36.252744,-75.785256,America/New_York,small_airport
